cliente_id,nombre,edad,genero,ubicacion
0000000001,Cliente_1,54,Otro,Puebla
0000000002,Cliente_2,46,Masculino,Tijuana
0000000003,Cliente_3,68,Femenino,Monterrey
0000000004,Cliente_4,21,Masculino,Cdmx
0000000005,Cliente_5,54,Otro,Cdmx
0000000006,Cliente_6,25,Otro,Monterrey
0000000007,Cliente_7,31,Femenino,Guadalajara
0000000008,Cliente_8,54,Masculino,Guadalajara
0000000009,Cliente_9,28,Otro,Guadalajara
0000000010,Cliente_10,53,Femenino,Tijuana
0000000011,Cliente_11,21,Femenino,Tijuana
0000000012,Cliente_12,31,Otro,Puebla
0000000013,Cliente_13,63,Femenino,Puebla
0000000014,Cliente_14,66,Femenino,Puebla
0000000015,Cliente_15,30,Masculino,Cdmx
0000000016,Cliente_16,38,Otro,Monterrey
0000000017,Cliente_17,51,Femenino,Puebla
0000000018,Cliente_18,40,Otro,Cdmx
0000000019,Cliente_19,27,Femenino,Monterrey
0000000020,Cliente_20,30,Otro,Cdmx
0000000021,Cliente_21,42,Otro,Tijuana
0000000022,Cliente_22,45,Masculino,Puebla
0000000024,Cliente_24,52,Femenino,Cdmx
0000000025,Cliente_25,65,Femenino,Cdmx
0000000026,Cliente_26,46,Otro,Puebla
0000000027,Cliente_27,22,Femenino,Puebla
0000000028,Cliente_28,38,Masculino,Tijuana
0000000029,Cliente_29,58,Otro,Tijuana
0000000030,Cliente_30,56,Masculino,Guadalajara
0000000031,Cliente_31,66,Femenino,Tijuana
0000000032,Cliente_32,63,Femenino,Puebla
0000000033,Cliente_33,36,Masculino,Tijuana
0000000034,Cliente_34,61,Otro,Tijuana
0000000035,Cliente_35,24,Otro,Monterrey
0000000036,Cliente_36,39,Masculino,Guadalajara
0000000037,Cliente_37,48,Femenino,Tijuana
0000000038,Cliente_38,28,Femenino,Guadalajara
0000000023,Cliente_39,22,Otro,Cdmx
0000000040,Cliente_40,29,Masculino,Tijuana
0000000041,Cliente_41,18,Masculino,Cdmx
0000000042,Cliente_42,58,Masculino,Puebla
0000000043,Cliente_43,34,Femenino,Monterrey
0000000044,Cliente_44,57,Femenino,Cdmx
0000000046,Cliente_46,68,Masculino,Puebla
0000000047,Cliente_47,59,Femenino,Guadalajara
0000000048,Cliente_48,55,Femenino,Cdmx
0000000049,Cliente_49,39,Masculino,Guadalajara
0000000050,Cliente_50,59,Otro,Cdmx
0000000051,Cliente_51,41,Masculino,Puebla
0000000052,Cliente_52,54,Masculino,Guadalajara
0000000053,Cliente_53,52,Otro,Monterrey
0000000054,Cliente_54,35,Femenino,Tijuana
0000000055,Cliente_55,55,Femenino,Puebla
0000000056,Cliente_56,32,Otro,Cdmx
0000000057,Cliente_57,25,Masculino,Monterrey
0000000058,Cliente_58,67,Otro,Puebla
0000000059,Cliente_59,32,Otro,Tijuana
0000000060,Cliente_60,45,Femenino,Guadalajara
0000000061,Cliente_61,65,Femenino,Tijuana
0000000062,Cliente_62,32,Femenino,Cdmx
0000000063,Cliente_63,52,Otro,Monterrey
0000000064,Cliente_64,68,Femenino,Tijuana
0000000065,Cliente_65,60,Masculino,Guadalajara
0000000066,Cliente_66,51,Otro,Tijuana
0000000067,Cliente_67,41,Femenino,Puebla
