proveedor_id,nombre_proveedor,contacto,ubicacion
0000000001,Proveedor_1,contacto1@empresa.com,Monterrey
0000000002,Proveedor_2,contacto2@empresa.com,Tijuana
0000000003,Proveedor_3,contacto3@empresa.com,Tijuana
0000000004,Proveedor_4,contacto4@empresa.com,Cdmx
0000000005,Proveedor_5,contacto5@empresa.com,Monterrey
0000000007,Proveedor_7,contacto7@empresa.com,Tijuana
0000000008,Proveedor_8,contacto8@empresa.com,Monterrey
0000000009,Proveedor_9,contacto9@empresa.com,Guadalajara
0000000010,Proveedor_10,contacto10@empresa.com,Puebla
0000000011,Proveedor_11,contacto11@empresa.com,Guadalajara
0000000012,Proveedor_12,contacto12@empresa.com,Tijuana
0000000013,Proveedor_13,contacto13@empresa.com,Monterrey
0000000014,Proveedor_14,contacto14@empresa.com,Tijuana
0000000015,Proveedor_15,contacto15@empresa.com,Monterrey
0000000016,Proveedor_16,contacto16@empresa.com,Puebla
0000000017,Proveedor_17,contacto17@empresa.com,Puebla
0000000018,Proveedor_18,contacto18@empresa.com,Guadalajara
0000000019,Proveedor_19,contacto19@empresa.com,Monterrey
0000000020,Proveedor_20,contacto20@empresa.com,Puebla
0000000021,Proveedor_21,contacto21@empresa.com,Tijuana
0000000022,Proveedor_22,contacto22@empresa.com,Monterrey
0000000023,Proveedor_23,contacto23@empresa.com,Cdmx
0000000024,Proveedor_24,contacto24@empresa.com,Tijuana
0000000025,Proveedor_25,contacto25@empresa.com,Guadalajara
0000000026,Proveedor_26,contacto26@empresa.com,Tijuana
0000000027,Proveedor_27,contacto27@empresa.com,Tijuana
0000000028,Proveedor_28,contacto28@empresa.com,Tijuana
0000000029,Proveedor_29,contacto29@empresa.com,Monterrey
0000000030,Proveedor_30,contacto30@empresa.com,Puebla
0000000031,Proveedor_31,contacto31@empresa.com,Cdmx
0000000032,Proveedor_32,contacto32@empresa.com,Monterrey
0000000033,Proveedor_33,contacto33@empresa.com,Tijuana
0000000034,Proveedor_34,contacto34@empresa.com,Monterrey
0000000035,Proveedor_35,contacto35@empresa.com,Puebla
0000000036,Proveedor_36,contacto36@empresa.com,Tijuana
0000000037,Proveedor_37,contacto37@empresa.com,Monterrey
0000000038,Proveedor_38,contacto38@empresa.com,Tijuana
0000000039,Proveedor_39,contacto39@empresa.com,Monterrey
0000000040,Proveedor_40,contacto40@empresa.com,Tijuana
0000000041,Proveedor_41,contacto41@empresa.com,Cdmx
0000000042,Proveedor_42,contacto42@empresa.com,Monterrey
0000000043,Proveedor_43,contacto43@empresa.com,Cdmx
0000000044,Proveedor_44,contacto44@empresa.com,Cdmx
0000000045,Proveedor_45,contacto45@empresa.com,Cdmx
0000000046,Proveedor_46,contacto46@empresa.com,Guadalajara
0000000047,Proveedor_47,contacto47@empresa.com,Guadalajara
0000000048,Proveedor_48,contacto48@empresa.com,Guadalajara
0000000049,Proveedor_49,contacto49@empresa.com,Monterrey
0000000050,Proveedor_50,contacto50@empresa.com,Monterrey
0000000051,Proveedor_51,contacto51@empresa.com,Monterrey
0000000052,Proveedor_52,contacto52@empresa.com,Monterrey
0000000053,Proveedor_53,contacto53@empresa.com,Puebla
0000000054,Proveedor_54,contacto54@empresa.com,Tijuana
0000000055,Proveedor_55,contacto55@empresa.com,Guadalajara
0000000056,Proveedor_56,contacto56@empresa.com,Tijuana
0000000057,Proveedor_57,contacto57@empresa.com,Monterrey
0000000058,Proveedor_58,contacto58@empresa.com,Monterrey
0000000059,Proveedor_59,contacto59@empresa.com,Cdmx
0000000060,Proveedor_60,contacto60@empresa.com,Puebla
0000000061,Proveedor_61,contacto61@empresa.com,Cdmx
0000000062,Proveedor_62,contacto62@empresa.com,Guadalajara
0000000063,Proveedor_63,contacto63@empresa.com,Puebla
0000000064,Proveedor_64,contacto64@empresa.com,Tijuana
0000000065,Proveedor_65,contacto65@empresa.com,Puebla
0000000067,Proveedor_67,contacto67@empresa.com,Monterrey
0000000068,Proveedor_68,contacto68@empresa.com,Guadalajara
0000000069,Proveedor_69,contacto69@empresa.com,Monterrey
0000000070,Proveedor_70,contacto70@empresa.com,Monterrey
0000000071,Proveedor_71,contacto71@empresa.com,Guadalajara
0000000072,Proveedor_72,contacto72@empresa.com,Tijuana
0000000073,Proveedor_73,contacto73@empresa.com,Guadalajara
0000000074,Proveedor_74,contacto74@empresa.com,Puebla
0000000075,Proveedor_75,contacto75@empresa.com,Tijuana
0000000076,Proveedor_76,contacto76@empresa.com,Guadalajara
0000000077,Proveedor_77,contacto77@empresa.com,Puebla
0000000078,Proveedor_78,contacto78@empresa.com,Tijuana
0000000079,Proveedor_79,contacto79@empresa.com,Guadalajara
0000000080,Proveedor_80,contacto80@empresa.com,Cdmx
0000000081,Proveedor_81,contacto81@empresa.com,Guadalajara
0000000082,Proveedor_82,contacto82@empresa.com,Monterrey
0000000083,Proveedor_83,contacto83@empresa.com,Guadalajara
